"","Label","Type","0- Reference","1- length only logistic","1b- length only logistic","2- length only dome","2b- length only dome","3a- age only_est LH","3b- age only_est LH rec devs","4a- lengths and ages","4b- lengths and ages rec devs","5a- catch length logistic","5b- catch length logistic rec devs","6a- catch length dome","6b- catch length dome rec devs","7a- catch ages","7b- catch ages rec devs","8a- catch length ages","8b- catch length ages rec devs"
"79",NA,"Shore",0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0
"80",NA,"Fishery1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,"Fishery2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,"Fishery3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,"Fishery4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,"MPA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,"Acoustic_Visual",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,"Tag",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,"MRFSS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Parameters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,"NatM_uniform_Fem_GP_1",0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
"90",NA,"L_at_Amin_Fem_GP_1",0,0,0,0,0,0,0,-12.0993,-9.42103,0,0,0,0,-18.4414,-16.4863,-12.9658,-9.69434
"91",NA,"L_at_Amax_Fem_GP_1",50.8464,48.82,48.82,48.82,48.82,53.1609,52.1071,51.5942,51.4517,48.84,48.84,48.84,48.84,51.9341,51.4292,50.7175,51.0485
"92",NA,"VonBert_K_Fem_GP_1",0.181808,0.1788,0.1788,0.1788,0.1788,0.124527,0.126671,0.156852,0.150933,0.1788,0.1788,0.1788,0.1788,0.167883,0.166033,0.162992,0.15319
"93",NA,"CV_young_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"94",NA,"CV_old_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"95",NA,"Wtlen_1_Fem_GP_1",2.54537e-05,1e-05,1e-05,1e-05,1e-05,2.55e-05,2.55e-05,2.55e-05,2.55e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.55e-05,2.55e-05,2.55e-05,2.55e-05
