"","Label","Type","00- Reference model","01- 2015 M values","02- Lorenzen_M","03- Est M","04- Fix gr parms, est M","05- Fix gr parms","06- Est Lmin","07- Est growth CVs","08- Bio maturity","09- Fxn Mat Logistic","10- Fec=Wt","11- No rec devs","12- Est all rec devs","13- Sel all logistic"
"160",NA,"Q_extraSD_Tag(7)",0.096241,0.0931495,0.0908804,0.0921504,0.0914552,0.0930213,0.0946148,0.0928243,0.0932923,0.0928908,0.0930676,0.130936,0.0987787,0.088671
"161",NA,"LnQ_base_MRFSS(8)",-7.68078,-7.77895,-7.69434,-7.78086,-7.78001,-7.68431,-7.587,-7.74851,-7.72939,-7.74602,-7.73956,-7.76909,-7.47007,-8.05075
"162",NA,"Q_extraSD_MRFSS(8)",0.319467,0.302108,0.315245,0.318478,0.298556,0.327217,0.345456,0.308998,0.302752,0.308309,0.305834,0.238363,0.0693664,0.320068
"163",NA,"Size_DblN_peak_Trawl_wdis(1)",53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,53.2314,57.0058
"164",NA,"Size_DblN_top_logit_Trawl_wdis(1)",0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0
"165",NA,"Size_DblN_ascend_se_Trawl_wdis(1)",3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,-0.587557
"166",NA,"Size_DblN_descend_se_Trawl_wdis(1)",-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9
"167",NA,"Size_DblN_start_logit_Trawl_wdis(1)",-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
"168",NA,"Size_DblN_end_logit_Trawl_wdis(1)",11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,10
"169",NA,"Size_DblN_peak_Non-Trawl_wdis(2)",43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,43.1162,35.8915
"170",NA,"Size_DblN_top_logit_Non-Trawl_wdis(2)",-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,0
"171",NA,"Size_DblN_ascend_se_Non-Trawl_wdis(2)",4,4,4,4,4,4,4,4,4,4,4,4,4,-0.164246
"172",NA,"Size_DblN_descend_se_Non-Trawl_wdis(2)",1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,1.7632,-9
"173",NA,"Size_DblN_start_logit_Non-Trawl_wdis(2)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-10
"174",NA,"Size_DblN_end_logit_Non-Trawl_wdis(2)",-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,-1.10106,10
"175",NA,"Size_DblN_peak_Ocean(3)",42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,42.2317,30.9997
"176",NA,"Size_DblN_top_logit_Ocean(3)",-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,0
"177",NA,"Size_DblN_ascend_se_Ocean(3)",4,4,4,4,4,4,4,4,4,4,4,4,4,0.626962
"178",NA,"Size_DblN_descend_se_Ocean(3)",2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,2.6208,-9
"179",NA,"Size_DblN_start_logit_Ocean(3)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-10
"180",NA,"Size_DblN_end_logit_Ocean(3)",-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,-0.555125,10
"181",NA,"Size_DblN_peak_Shore(4)",22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,22.3713,33.0072
"182",NA,"Size_DblN_top_logit_Shore(4)",4,4,4,4,4,4,4,4,4,4,4,4,4,0
"183",NA,"Size_DblN_ascend_se_Shore(4)",3,3,3,3,3,3,3,3,3,3,3,3,3,-0.525709
